"position","const","created","modified","description","Title","Title type","Directors","Dr-Faustus rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"65","tt4686862","Thu Sep  8 01:06:21 2016","Thu Sep  8 01:06:21 2016","","Almost Adults","Feature Film","Sarah Rotella","","8.7","90","2016","comedy, drama","108","2016-05-28","http://www.imdb.com/title/tt4686862/"
"66","tt2140479","Sat Jan 30 02:30:33 2016","Sat Jan 30 02:30:33 2016","","The Accountant","Feature Film","Gavin O'Connor","","7.5","128","2016","action, crime, drama, thriller","85979","2016-10-10","http://www.imdb.com/title/tt2140479/"
"67","tt2671706","Fri Sep  2 00:04:05 2016","Fri Sep  2 00:04:05 2016","","Fences","Feature Film","Denzel Washington","","7.9","139","2016","drama","4852","2016-12-16","http://www.imdb.com/title/tt2671706/"
"68","tt3344680","Sat Sep 24 02:38:03 2016","Sat Sep 24 02:38:03 2016","","Boyka: Undisputed IV","Feature Film","Todor Chapkanov","","9.3","","2016","action","1345","2016-09-22","http://www.imdb.com/title/tt3344680/"
"69","tt4939848","Fri Dec 16 02:34:49 2016","Fri Dec 16 02:34:49 2016","","The Dark Hand","Feature Film","Dutch Marich","","6.9","82","2016","mystery, thriller","51","2016-03","http://www.imdb.com/title/tt4939848/"
"70","tt1967614","Wed Oct 26 05:44:11 2016","Wed Oct 26 05:44:11 2016","","The Comedian","Feature Film","Taylor Hackford","","4.9","119","2016","comedy","278","2016-11-11","http://www.imdb.com/title/tt1967614/"
"71","tt5933706","Sun Dec  4 10:01:07 2016","Sun Dec  4 10:01:07 2016","","Saansein: The Last Breath","Feature Film","Rajiv S. Ruia","","5.6","101","2016","horror, romance","15","2016-11-25","http://www.imdb.com/title/tt5933706/"
"72","tt2401585","Mon Nov 14 14:16:31 2016","Mon Nov 14 14:16:31 2016","","Achcham Yenbadhu Madamaiyada","Feature Film","Gautham Menon","","7.2","135","2016","romance","896","2016-11-10","http://www.imdb.com/title/tt2401585/"
"73","tt5143586","Wed Oct 26 05:46:45 2016","Wed Oct 26 05:46:45 2016","","The Swaying Waterlily","Feature Film","Seren Yüce","","6.2","108","2016","drama","223","2016-04-14","http://www.imdb.com/title/tt5143586/"
"74","tt6229652","Mon Nov 14 14:16:57 2016","Mon Nov 14 14:16:57 2016","","Benim Adim Feridun","Feature Film","Çagan Irmak","","4.8","111","2016","comedy","205","2016-11-10","http://www.imdb.com/title/tt6229652/"
"75","tt2980210","Tue Dec 29 01:32:12 2015","Tue Dec 29 01:32:12 2015","","Ein Hologramm für den König","Feature Film","Tom Tykwer","","6.1","98","2016","comedy, drama","21884","2016-04-20","http://www.imdb.com/title/tt2980210/"
"76","tt3289956","Sat Sep 24 02:38:40 2016","Sat Sep 24 02:38:40 2016","","The Autopsy of Jane Doe","Feature Film","André Øvredal","","6.9","86","2016","horror","10897","2016-09-09","http://www.imdb.com/title/tt3289956/"
"77","tt3144780","Wed Nov 23 06:06:55 2016","Wed Nov 23 06:06:55 2016","","Sleepwalkers","Feature Film","Jason Merrin","","7.0","91","2016","comedy, drama, fantasy, romance, sci_fi","23","2016-08-05","http://www.imdb.com/title/tt3144780/"
"78","tt5114988","Mon Nov 14 14:17:53 2016","Mon Nov 14 14:17:53 2016","","Gorge coeur ventre","Feature Film","Maud Alpi","","6.7","82","2016","","48","2016-08-06","http://www.imdb.com/title/tt5114988/"
"79","tt3627704","Sun Jul 31 13:24:51 2016","Sun Jul 31 13:24:51 2016","","Phantasm: Ravager","Feature Film","David Hartman","","5.3","85","2016","fantasy, horror","1314","2016-09-25","http://www.imdb.com/title/tt3627704/"
"80","tt1431045","Tue Jul 14 06:02:03 2015","Tue Jul 14 06:02:03 2015","","Deadpool","Feature Film","Tim Miller","","8.1","108","2016","action, adventure, comedy, romance, sci_fi","565219","2016-01-21","http://www.imdb.com/title/tt1431045/"
"81","tt2822864","Fri Nov  4 03:00:58 2016","Fri Nov  4 03:00:58 2016","","Run the Tide","Feature Film","Soham Mehta","","5.3","100","2016","drama","396","2016-12-02","http://www.imdb.com/title/tt2822864/"
"82","tt5609004","Tue Nov 29 10:32:37 2016","Tue Nov 29 10:32:37 2016","","Her Dark Past","Feature Film","Kevin Shulman","","5.9","","2016","thriller","24","2016-11-27","http://www.imdb.com/title/tt5609004/"
"83","tt5034474","Wed Aug 24 07:47:31 2016","Wed Aug 24 07:47:31 2016","","(Re) Assignment","Feature Film","Walter Hill","","5.3","95","2016","action, thriller","78","2016-09-11","http://www.imdb.com/title/tt5034474/"
"84","tt3040964","Thu Mar 19 04:19:18 2015","Thu Mar 19 04:19:18 2015","","The Jungle Book","Feature Film","Jon Favreau","","7.6","106","2016","adventure, drama, family, fantasy","171449","2016-04-04","http://www.imdb.com/title/tt3040964/"
"85","tt4986754","Sun Dec  4 10:02:39 2016","Sun Dec  4 10:02:39 2016","","Big Bear","Feature Film","Joey Kern","","","88","2016","comedy","0","2016","http://www.imdb.com/title/tt4986754/"
"86","tt2948530","Mon Nov 14 14:17:27 2016","Mon Nov 14 14:17:27 2016","","Wild for the Night","Feature Film","Benny Boom","","7.0","100","2016","crime, music, thriller","40","2016-11-09","http://www.imdb.com/title/tt2948530/"
"87","tt6149120","Mon Oct 24 12:26:44 2016","Mon Oct 24 12:26:44 2016","","Shadows of the Dead","Feature Film","John Ross","","4.5","","2016","horror","134","2016-10-22","http://www.imdb.com/title/tt6149120/"
"88","tt5078274","Mon Oct 31 15:01:11 2016","Mon Oct 31 15:01:11 2016","","Chouf","Feature Film","Karim Dridi","","6.5","108","2016","drama","72","2016-05-15","http://www.imdb.com/title/tt5078274/"
"89","tt4943322","Sun Oct 23 00:52:42 2016","Sun Oct 23 00:52:42 2016","","The Ottoman Lieutenant","Feature Film","Joseph Ruben","","","","2016","drama, war","","2016","http://www.imdb.com/title/tt4943322/"
"90","tt6320538","Thu Jan  5 01:50:31 2017","Thu Jan  5 01:50:31 2017","","Stalked by My Mother","Feature Film","Doug Campbell","","6.0","90","2016","mystery, thriller","29","2016-09-26","http://www.imdb.com/title/tt6320538/"
"91","tt5154288","Sun Oct 30 05:51:51 2016","Sun Oct 30 05:51:51 2016","","Prevenge","Feature Film","Alice Lowe","","6.5","88","2016","comedy, drama, fantasy, horror, thriller","122","2016-09-01","http://www.imdb.com/title/tt5154288/"
"92","tt4146964","Mon Oct 31 15:01:58 2016","Mon Oct 31 15:01:58 2016","","The Cruel Tale of the Medicine Man","Feature Film","James Habacker","","8.2","90","2016","comedy, fantasy, horror","18","2016-10-15","http://www.imdb.com/title/tt4146964/"
"93","tt4991512","Sat Sep 24 02:40:08 2016","Sat Sep 24 02:40:08 2016","","Tramps","Feature Film","Adam Leon","","7.7","82","2016","comedy, romance","32","2016-09-10","http://www.imdb.com/title/tt4991512/"
"94","tt0475290","Wed Oct 14 02:34:54 2015","Wed Oct 14 02:34:54 2015","","Hail, Caesar!","Feature Film","Ethan Coen, Joel Coen","","6.3","106","2016","comedy, mystery","77548","2016-02-01","http://www.imdb.com/title/tt0475290/"
"95","tt3778010","Sat Sep 24 02:41:27 2016","Sat Sep 24 02:41:27 2016","","Dead Awake","Feature Film","Phillip Guzman","","","99","2016","horror, thriller","0","2016","http://www.imdb.com/title/tt3778010/"
"96","tt2660888","Mon Dec 14 11:01:32 2015","Mon Dec 14 11:01:32 2015","","Star Trek: Beyond","Feature Film","Justin Lin","","7.1","122","2016","action, adventure, sci_fi, thriller","139655","2016-07-20","http://www.imdb.com/title/tt2660888/"
"97","tt4572514","Wed Jul  6 10:54:25 2016","Wed Jul  6 10:54:25 2016","","Boston","Feature Film","Peter Berg","","7.0","133","2016","drama, history, thriller","752","2016-11-17","http://www.imdb.com/title/tt4572514/"
"98","tt1974419","Tue Dec 29 01:30:57 2015","Tue Dec 29 01:30:57 2015","","The Neon Demon","Feature Film","Nicolas Winding Refn","","6.3","118","2016","horror, thriller","38625","2016-05-20","http://www.imdb.com/title/tt1974419/"
"99","tt5579668","Mon Nov 14 14:18:39 2016","Mon Nov 14 14:18:39 2016","","11-12-13 Rak Kan Ja Tai","Feature Film","Sarawut Wichiensarn","","6.0","","2016","comedy, horror","22","2016-03-31","http://www.imdb.com/title/tt5579668/"
"100","tt5003654","Wed Sep 21 06:39:24 2016","Wed Sep 21 13:08:12 2016","[red]Official Site[/red]: [link=http://www.imdb.com/title/tt5003654/externalsites?ref_=tt_ql_dt_3]24X36: A Movie About Movie Posters[/link].","24X36: A Movie About Movie Posters","Documentary","Kevin Burke","","8.8","82","2016","documentary, biography, history","31","2016-09-23","http://www.imdb.com/title/tt5003654/"
"101","tt5143890","Mon Oct 10 06:22:10 2016","Mon Oct 10 06:22:10 2016","","Justice","Feature Film","Richard Gabai","","","","2016","western","0","2016","http://www.imdb.com/title/tt5143890/"
"102","tt3107166","Fri Nov  4 03:00:14 2016","Fri Nov  4 03:00:14 2016","","Pimp","Feature Film","Christine Crokos","","","110","2016","drama","0","2016","http://www.imdb.com/title/tt3107166/"
"103","tt5083736","Sat Sep 24 02:39:14 2016","Sat Sep 24 02:39:14 2016","","Independence Wars - Die Rückkehr","Feature Film","Marlene Mc'Cohen","","2.0","83","2016","sci_fi","57","2016-03-12","http://www.imdb.com/title/tt5083736/"
"104","tt3622110","Mon Oct 10 06:21:18 2016","Mon Oct 10 06:21:18 2016","","Don't Knock Twice","Feature Film","Caradog W. James","","8.2","","2016","horror","24","2016-09-29","http://www.imdb.com/title/tt3622110/"
"105","tt3416674","Mon Oct 31 15:00:35 2016","Mon Oct 31 15:00:35 2016","","Shovel Buddies","Feature Film","Si & Ad, Si & Ad","","5.6","85","2016","drama","144","2016-03-15","http://www.imdb.com/title/tt3416674/"
"106","tt4074364","Tue Sep 22 13:34:50 2015","Tue Sep 22 13:34:50 2015","","The Model","Feature Film","Mads Matthiesen","","5.8","105","2016","drama","1479","2016-02-04","http://www.imdb.com/title/tt4074364/"
"107","tt1718924","Sat Aug 13 12:17:13 2016","Sat Aug 13 12:17:13 2016","","The Headhunter's Calling","Feature Film","Mark Williams","","7.7","108","2016","drama","67","2016-09-13","http://www.imdb.com/title/tt1718924/"
"108","tt2567026","Sun Aug 16 03:23:02 2015","Sun Aug 16 03:23:02 2015","","Alice im Wunderland: Hinter den Spiegeln","Feature Film","James Bobin","","6.3","113","2016","adventure, family, fantasy","44600","2016-05-10","http://www.imdb.com/title/tt2567026/"
"109","tt0470936","Fri Sep 16 02:12:22 2016","Fri Sep 16 02:12:22 2016","","Tak erkir, tsurt dzmer","Feature Film","David Safarian","","3.2","104","2016","drama","48","2016-05-04","http://www.imdb.com/title/tt0470936/"
"110","tt5618232","Tue Oct  4 16:08:12 2016","Tue Oct  4 16:08:12 2016","","FML","Feature Film","Jason Nash","","8.4","98","2016","comedy","36","2016-10-11","http://www.imdb.com/title/tt5618232/"
"111","tt3174376","Fri Dec 11 12:05:57 2015","Fri Dec 11 12:05:57 2015","","Before I Wake","Feature Film","Mike Flanagan","","6.1","97","2016","drama, fantasy, horror, thriller","13805","2016-04-07","http://www.imdb.com/title/tt3174376/"
"112","tt4902904","Tue Sep 20 04:14:04 2016","Tue Sep 20 04:14:04 2016","","The Resurrection of Gavin Stone","Feature Film","Dallas Jenkins","","","92","2016","comedy, drama, family, romance","","2016","http://www.imdb.com/title/tt4902904/"
"113","tt0837156","Sat Feb  6 14:02:05 2016","Sat Feb  6 14:02:05 2016","","Pee-wee's Big Holiday","Feature Film","John Lee","","6.3","90","2016","adventure, comedy","4727","2016-03-17","http://www.imdb.com/title/tt0837156/"
"114","tt4382824","Tue Oct  4 16:05:19 2016","Tue Oct  4 16:05:19 2016","","Army of One: Ein Mann auf göttlicher Mission","Feature Film","Larry Charles","","5.0","92","2016","comedy","2345","2016-10-28","http://www.imdb.com/title/tt4382824/"
"115","tt5044656","Mon Oct 24 12:27:47 2016","Mon Oct 24 12:27:47 2016","","The Shadow Effect","Feature Film","Obin Olson, Amariah Olson","","","","2016","action, thriller","0","2016","http://www.imdb.com/title/tt5044656/"
"116","tt4446472","Sat Sep 24 02:40:55 2016","Sat Sep 24 02:40:55 2016","","Porto","Feature Film","Gabe Klinger","","6.2","76","2016","drama, romance","151","2016-09-19","http://www.imdb.com/title/tt4446472/"
